Word,Start Time,End Time,start_time_diff,Speaker_A,Speaker_B,SourceFile,Speaker,Backchannel,Overlap,Turn,Contested,Sent,Turn Start,Turn End,Sentiment,word_count,Time_Boundary
sense,35.92,36.16,0.1600000000000037,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,3,0,approach this negotiation with the sense of emergency urgency and diminish and the that will one month on a proposing event just that luxury it's necessary forward for my well being and continuing productivity as a higher specific scientists test with numerous couple days and a promising career the my absence undoubtedly lily leave avoids at the right,33.36,65.9004,0.10331632653061225,58,33.278365
of,36.16,36.32,0.2399999999999948,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,3,0,approach this negotiation with the sense of emergency urgency and diminish and the that will one month on a proposing event just that luxury it's necessary forward for my well being and continuing productivity as a higher specific scientists test with numerous couple days and a promising career the my absence undoubtedly lily leave avoids at the right,33.36,65.9004,0.10331632653061225,58,33.278365
emergency,36.32,36.72,0.1600000000000037,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,3,0,approach this negotiation with the sense of emergency urgency and diminish and the that will one month on a proposing event just that luxury it's necessary forward for my well being and continuing productivity as a higher specific scientists test with numerous couple days and a promising career the my absence undoubtedly lily leave avoids at the right,33.36,65.9004,0.10331632653061225,58,33.278365
urgency,36.72,37.12,0.3999999999999986,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,3,0,approach this negotiation with the sense of emergency urgency and diminish and the that will one month on a proposing event just that luxury it's necessary forward for my well being and continuing productivity as a higher specific scientists test with numerous couple days and a promising career the my absence undoubtedly lily leave avoids at the right,33.36,65.9004,0.10331632653061225,58,33.278365
and,37.12,37.62,0.3999999999999986,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,3,0,approach this negotiation with the sense of emergency urgency and diminish and the that will one month on a proposing event just that luxury it's necessary forward for my well being and continuing productivity as a higher specific scientists test with numerous couple days and a promising career the my absence undoubtedly lily leave avoids at the right,33.36,65.9004,0.10331632653061225,58,33.278365
diminish,37.68,38.0,0.5600000000000023,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,3,0,approach this negotiation with the sense of emergency urgency and diminish and the that will one month on a proposing event just that luxury it's necessary forward for my well being and continuing productivity as a higher specific scientists test with numerous couple days and a promising career the my absence undoubtedly lily leave avoids at the right,33.36,65.9004,0.10331632653061225,58,33.278365
and,38.0,38.5,0.3200000000000003,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,3,0,approach this negotiation with the sense of emergency urgency and diminish and the that will one month on a proposing event just that luxury it's necessary forward for my well being and continuing productivity as a higher specific scientists test with numerous couple days and a promising career the my absence undoubtedly lily leave avoids at the right,33.36,65.9004,0.10331632653061225,58,33.278365
the,38.879997,39.379997,0.879997000000003,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,3,0,approach this negotiation with the sense of emergency urgency and diminish and the that will one month on a proposing event just that luxury it's necessary forward for my well being and continuing productivity as a higher specific scientists test with numerous couple days and a promising career the my absence undoubtedly lily leave avoids at the right,33.36,65.9004,0.10331632653061225,58,33.278365
that,39.84,40.239998,0.9600030000000004,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,3,0,approach this negotiation with the sense of emergency urgency and diminish and the that will one month on a proposing event just that luxury it's necessary forward for my well being and continuing productivity as a higher specific scientists test with numerous couple days and a promising career the my absence undoubtedly lily leave avoids at the right,33.36,65.9004,0.10331632653061225,58,33.278365
will,40.239998,40.739998,0.3999979999999965,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,3,0,approach this negotiation with the sense of emergency urgency and diminish and the that will one month on a proposing event just that luxury it's necessary forward for my well being and continuing productivity as a higher specific scientists test with numerous couple days and a promising career the my absence undoubtedly lily leave avoids at the right,33.36,65.9004,0.10331632653061225,58,33.278365
one,41.054615,41.29384,0.8146169999999984,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,3,0,approach this negotiation with the sense of emergency urgency and diminish and the that will one month on a proposing event just that luxury it's necessary forward for my well being and continuing productivity as a higher specific scientists test with numerous couple days and a promising career the my absence undoubtedly lily leave avoids at the right,33.36,65.9004,0.10331632653061225,58,33.278365
month,41.29384,41.79384,0.2392250000000046,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,3,0,approach this negotiation with the sense of emergency urgency and diminish and the that will one month on a proposing event just that luxury it's necessary forward for my well being and continuing productivity as a higher specific scientists test with numerous couple days and a promising career the my absence undoubtedly lily leave avoids at the right,33.36,65.9004,0.10331632653061225,58,33.278365
on,42.330486,42.489967,1.0366459999999975,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,3,0,approach this negotiation with the sense of emergency urgency and diminish and the that will one month on a proposing event just that luxury it's necessary forward for my well being and continuing productivity as a higher specific scientists test with numerous couple days and a promising career the my absence undoubtedly lily leave avoids at the right,33.36,65.9004,0.10331632653061225,58,33.278365
a,42.489967,42.729195,0.1594809999999995,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,3,0,approach this negotiation with the sense of emergency urgency and diminish and the that will one month on a proposing event just that luxury it's necessary forward for my well being and continuing productivity as a higher specific scientists test with numerous couple days and a promising career the my absence undoubtedly lily leave avoids at the right,33.36,65.9004,0.10331632653061225,58,33.278365
proposing,42.729195,43.127903,0.2392279999999971,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,3,0,approach this negotiation with the sense of emergency urgency and diminish and the that will one month on a proposing event just that luxury it's necessary forward for my well being and continuing productivity as a higher specific scientists test with numerous couple days and a promising career the my absence undoubtedly lily leave avoids at the right,33.36,65.9004,0.10331632653061225,58,33.278365
event,43.127903,43.446873,0.3987080000000063,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,3,0,approach this negotiation with the sense of emergency urgency and diminish and the that will one month on a proposing event just that luxury it's necessary forward for my well being and continuing productivity as a higher specific scientists test with numerous couple days and a promising career the my absence undoubtedly lily leave avoids at the right,33.36,65.9004,0.10331632653061225,58,33.278365
just,43.446873,43.686096,0.3189699999999931,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,3,0,approach this negotiation with the sense of emergency urgency and diminish and the that will one month on a proposing event just that luxury it's necessary forward for my well being and continuing productivity as a higher specific scientists test with numerous couple days and a promising career the my absence undoubtedly lily leave avoids at the right,33.36,65.9004,0.10331632653061225,58,33.278365
that,43.686096,44.08481,0.2392230000000026,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,3,0,approach this negotiation with the sense of emergency urgency and diminish and the that will one month on a proposing event just that luxury it's necessary forward for my well being and continuing productivity as a higher specific scientists test with numerous couple days and a promising career the my absence undoubtedly lily leave avoids at the right,33.36,65.9004,0.10331632653061225,58,33.278365
luxury,44.08481,44.244293,0.3987139999999982,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,3,0,approach this negotiation with the sense of emergency urgency and diminish and the that will one month on a proposing event just that luxury it's necessary forward for my well being and continuing productivity as a higher specific scientists test with numerous couple days and a promising career the my absence undoubtedly lily leave avoids at the right,33.36,65.9004,0.10331632653061225,58,33.278365
it's,44.722744,45.222744,0.6379340000000013,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,3,0,approach this negotiation with the sense of emergency urgency and diminish and the that will one month on a proposing event just that luxury it's necessary forward for my well being and continuing productivity as a higher specific scientists test with numerous couple days and a promising career the my absence undoubtedly lily leave avoids at the right,33.36,65.9004,0.10331632653061225,58,33.278365
necessary,45.280937,45.780937,0.5581930000000028,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,3,0,approach this negotiation with the sense of emergency urgency and diminish and the that will one month on a proposing event just that luxury it's necessary forward for my well being and continuing productivity as a higher specific scientists test with numerous couple days and a promising career the my absence undoubtedly lily leave avoids at the right,33.36,65.9004,0.10331632653061225,58,33.278365
forward,46.078354,46.578354,0.7974169999999958,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,3,0,approach this negotiation with the sense of emergency urgency and diminish and the that will one month on a proposing event just that luxury it's necessary forward for my well being and continuing productivity as a higher specific scientists test with numerous couple days and a promising career the my absence undoubtedly lily leave avoids at the right,33.36,65.9004,0.10331632653061225,58,33.278365
for,46.796032,47.194744,0.7176779999999994,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,3,0,approach this negotiation with the sense of emergency urgency and diminish and the that will one month on a proposing event just that luxury it's necessary forward for my well being and continuing productivity as a higher specific scientists test with numerous couple days and a promising career the my absence undoubtedly lily leave avoids at the right,33.36,65.9004,0.10331632653061225,58,33.278365
my,47.194744,47.51371,0.3987120000000033,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,3,0,approach this negotiation with the sense of emergency urgency and diminish and the that will one month on a proposing event just that luxury it's necessary forward for my well being and continuing productivity as a higher specific scientists test with numerous couple days and a promising career the my absence undoubtedly lily leave avoids at the right,33.36,65.9004,0.10331632653061225,58,33.278365
well,47.51371,47.752937,0.3189660000000032,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,3,0,approach this negotiation with the sense of emergency urgency and diminish and the that will one month on a proposing event just that luxury it's necessary forward for my well being and continuing productivity as a higher specific scientists test with numerous couple days and a promising career the my absence undoubtedly lily leave avoids at the right,33.36,65.9004,0.10331632653061225,58,33.278365
being,47.752937,48.252937,0.2392269999999996,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,3,0,approach this negotiation with the sense of emergency urgency and diminish and the that will one month on a proposing event just that luxury it's necessary forward for my well being and continuing productivity as a higher specific scientists test with numerous couple days and a promising career the my absence undoubtedly lily leave avoids at the right,33.36,65.9004,0.10331632653061225,58,33.278365
and,48.949066,49.449066,1.196128999999999,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,3,0,approach this negotiation with the sense of emergency urgency and diminish and the that will one month on a proposing event just that luxury it's necessary forward for my well being and continuing productivity as a higher specific scientists test with numerous couple days and a promising career the my absence undoubtedly lily leave avoids at the right,33.36,65.9004,0.10331632653061225,58,33.278365
continuing,50.384422,50.884422,1.4353559999999987,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,3,0,approach this negotiation with the sense of emergency urgency and diminish and the that will one month on a proposing event just that luxury it's necessary forward for my well being and continuing productivity as a higher specific scientists test with numerous couple days and a promising career the my absence undoubtedly lily leave avoids at the right,33.36,65.9004,0.10331632653061225,58,33.278365
productivity,50.94261,51.44261,0.5581880000000012,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,3,0,approach this negotiation with the sense of emergency urgency and diminish and the that will one month on a proposing event just that luxury it's necessary forward for my well being and continuing productivity as a higher specific scientists test with numerous couple days and a promising career the my absence undoubtedly lily leave avoids at the right,33.36,65.9004,0.10331632653061225,58,33.278365
as,52.537453,52.77668,1.5948429999999971,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,3,0,approach this negotiation with the sense of emergency urgency and diminish and the that will one month on a proposing event just that luxury it's necessary forward for my well being and continuing productivity as a higher specific scientists test with numerous couple days and a promising career the my absence undoubtedly lily leave avoids at the right,33.36,65.9004,0.10331632653061225,58,33.278365
a,52.77668,52.93616,0.2392269999999996,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,3,0,approach this negotiation with the sense of emergency urgency and diminish and the that will one month on a proposing event just that luxury it's necessary forward for my well being and continuing productivity as a higher specific scientists test with numerous couple days and a promising career the my absence undoubtedly lily leave avoids at the right,33.36,65.9004,0.10331632653061225,58,33.278365
higher,52.93616,53.31,0.159480000000002,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,3,0,approach this negotiation with the sense of emergency urgency and diminish and the that will one month on a proposing event just that luxury it's necessary forward for my well being and continuing productivity as a higher specific scientists test with numerous couple days and a promising career the my absence undoubtedly lily leave avoids at the right,33.36,65.9004,0.10331632653061225,58,33.278365
specific,53.42991,53.829605,0.4937499999999986,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,3,0,approach this negotiation with the sense of emergency urgency and diminish and the that will one month on a proposing event just that luxury it's necessary forward for my well being and continuing productivity as a higher specific scientists test with numerous couple days and a promising career the my absence undoubtedly lily leave avoids at the right,33.36,65.9004,0.10331632653061225,58,33.278365
scientists,53.829605,54.14936,0.3996950000000012,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,3,0,approach this negotiation with the sense of emergency urgency and diminish and the that will one month on a proposing event just that luxury it's necessary forward for my well being and continuing productivity as a higher specific scientists test with numerous couple days and a promising career the my absence undoubtedly lily leave avoids at the right,33.36,65.9004,0.10331632653061225,58,33.278365
test,54.14936,54.549057,0.3197550000000007,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,3,0,approach this negotiation with the sense of emergency urgency and diminish and the that will one month on a proposing event just that luxury it's necessary forward for my well being and continuing productivity as a higher specific scientists test with numerous couple days and a promising career the my absence undoubtedly lily leave avoids at the right,33.36,65.9004,0.10331632653061225,58,33.278365
with,54.549057,55.049057,0.3996969999999962,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,3,0,approach this negotiation with the sense of emergency urgency and diminish and the that will one month on a proposing event just that luxury it's necessary forward for my well being and continuing productivity as a higher specific scientists test with numerous couple days and a promising career the my absence undoubtedly lily leave avoids at the right,33.36,65.9004,0.10331632653061225,58,33.278365
numerous,55.748142,56.248142,1.1990850000000035,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,3,0,approach this negotiation with the sense of emergency urgency and diminish and the that will one month on a proposing event just that luxury it's necessary forward for my well being and continuing productivity as a higher specific scientists test with numerous couple days and a promising career the my absence undoubtedly lily leave avoids at the right,33.36,65.9004,0.10331632653061225,58,33.278365
couple,57.746616,57.986435,1.9984740000000016,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,3,0,approach this negotiation with the sense of emergency urgency and diminish and the that will one month on a proposing event just that luxury it's necessary forward for my well being and continuing productivity as a higher specific scientists test with numerous couple days and a promising career the my absence undoubtedly lily leave avoids at the right,33.36,65.9004,0.10331632653061225,58,33.278365
days,57.986435,58.38613,0.2398189999999971,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,3,0,approach this negotiation with the sense of emergency urgency and diminish and the that will one month on a proposing event just that luxury it's necessary forward for my well being and continuing productivity as a higher specific scientists test with numerous couple days and a promising career the my absence undoubtedly lily leave avoids at the right,33.36,65.9004,0.10331632653061225,58,33.278365
and,58.38613,58.546005,0.3996950000000012,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,3,0,approach this negotiation with the sense of emergency urgency and diminish and the that will one month on a proposing event just that luxury it's necessary forward for my well being and continuing productivity as a higher specific scientists test with numerous couple days and a promising career the my absence undoubtedly lily leave avoids at the right,33.36,65.9004,0.10331632653061225,58,33.278365
a,58.546005,58.705887,0.1598749999999995,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,3,0,approach this negotiation with the sense of emergency urgency and diminish and the that will one month on a proposing event just that luxury it's necessary forward for my well being and continuing productivity as a higher specific scientists test with numerous couple days and a promising career the my absence undoubtedly lily leave avoids at the right,33.36,65.9004,0.10331632653061225,58,33.278365
promising,58.705887,59.205887,0.159881999999996,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,3,0,approach this negotiation with the sense of emergency urgency and diminish and the that will one month on a proposing event just that luxury it's necessary forward for my well being and continuing productivity as a higher specific scientists test with numerous couple days and a promising career the my absence undoubtedly lily leave avoids at the right,33.36,65.9004,0.10331632653061225,58,33.278365
career,59.265457,59.665154,0.5595700000000008,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,3,0,approach this negotiation with the sense of emergency urgency and diminish and the that will one month on a proposing event just that luxury it's necessary forward for my well being and continuing productivity as a higher specific scientists test with numerous couple days and a promising career the my absence undoubtedly lily leave avoids at the right,33.36,65.9004,0.10331632653061225,58,33.278365
the,60.384605,60.884605,1.1191480000000027,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,3,0,approach this negotiation with the sense of emergency urgency and diminish and the that will one month on a proposing event just that luxury it's necessary forward for my well being and continuing productivity as a higher specific scientists test with numerous couple days and a promising career the my absence undoubtedly lily leave avoids at the right,33.36,65.9004,0.10331632653061225,58,33.278365
my,62.063324,62.303143,1.678719000000001,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,3,0,approach this negotiation with the sense of emergency urgency and diminish and the that will one month on a proposing event just that luxury it's necessary forward for my well being and continuing productivity as a higher specific scientists test with numerous couple days and a promising career the my absence undoubtedly lily leave avoids at the right,33.36,65.9004,0.10331632653061225,58,33.278365
absence,62.303143,62.803143,0.2398189999999971,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,3,0,approach this negotiation with the sense of emergency urgency and diminish and the that will one month on a proposing event just that luxury it's necessary forward for my well being and continuing productivity as a higher specific scientists test with numerous couple days and a promising career the my absence undoubtedly lily leave avoids at the right,33.36,65.9004,0.10331632653061225,58,33.278365
undoubtedly,63.582165,63.901924,1.2790220000000048,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,3,0,approach this negotiation with the sense of emergency urgency and diminish and the that will one month on a proposing event just that luxury it's necessary forward for my well being and continuing productivity as a higher specific scientists test with numerous couple days and a promising career the my absence undoubtedly lily leave avoids at the right,33.36,65.9004,0.10331632653061225,58,33.278365
lily,63.901924,64.0618,0.3197589999999977,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,3,0,approach this negotiation with the sense of emergency urgency and diminish and the that will one month on a proposing event just that luxury it's necessary forward for my well being and continuing productivity as a higher specific scientists test with numerous couple days and a promising career the my absence undoubtedly lily leave avoids at the right,33.36,65.9004,0.10331632653061225,58,33.278365
leave,64.0618,64.461494,0.1598760000000041,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,3,0,approach this negotiation with the sense of emergency urgency and diminish and the that will one month on a proposing event just that luxury it's necessary forward for my well being and continuing productivity as a higher specific scientists test with numerous couple days and a promising career the my absence undoubtedly lily leave avoids at the right,33.36,65.9004,0.10331632653061225,58,33.278365
avoids,64.461494,64.78125,0.3996939999999966,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,3,0,approach this negotiation with the sense of emergency urgency and diminish and the that will one month on a proposing event just that luxury it's necessary forward for my well being and continuing productivity as a higher specific scientists test with numerous couple days and a promising career the my absence undoubtedly lily leave avoids at the right,33.36,65.9004,0.10331632653061225,58,33.278365
at,64.78125,64.94113,0.3197559999999981,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,3,0,approach this negotiation with the sense of emergency urgency and diminish and the that will one month on a proposing event just that luxury it's necessary forward for my well being and continuing productivity as a higher specific scientists test with numerous couple days and a promising career the my absence undoubtedly lily leave avoids at the right,33.36,65.9004,0.10331632653061225,58,33.278365
the,64.94113,65.44113,0.1598800000000011,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,3,0,approach this negotiation with the sense of emergency urgency and diminish and the that will one month on a proposing event just that luxury it's necessary forward for my well being and continuing productivity as a higher specific scientists test with numerous couple days and a promising career the my absence undoubtedly lily leave avoids at the right,33.36,65.9004,0.10331632653061225,58,33.278365
right,65.66058,65.9004,0.7194499999999948,1,0,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,A,0,0,3,0,approach this negotiation with the sense of emergency urgency and diminish and the that will one month on a proposing event just that luxury it's necessary forward for my well being and continuing productivity as a higher specific scientists test with numerous couple days and a promising career the my absence undoubtedly lily leave avoids at the right,33.36,65.9004,0.10331632653061225,58,33.278365
mh,75.21973,75.619225,42.34146,0,1,1716396830476-94efdc3a-3f86-41c3-bf7a-fb60f737a28a-cam-audio-1716396831425,B,0,0,4,0,mh yeah is there like a number you wanna start with and we could go from there,75.21973,84.887566,0.0,17,70.56006500000001
yeah,81.37199,81.531784,6.152259999999998,0,1,1716396830476-94efdc3a-3f86-41c3-bf7a-fb60f737a28a-cam-audio-1716396831425,B,0,0,4,0,mh yeah is there like a number you wanna start with and we could go from there,75.21973,84.887566,0.0,17,70.56006500000001
is,81.771484,81.93128,0.3994940000000042,0,1,1716396830476-94efdc3a-3f86-41c3-bf7a-fb60f737a28a-cam-audio-1716396831425,B,0,0,4,0,mh yeah is there like a number you wanna start with and we could go from there,75.21973,84.887566,0.0,17,70.56006500000001
there,81.93128,82.09108,0.159796,0,1,1716396830476-94efdc3a-3f86-41c3-bf7a-fb60f737a28a-cam-audio-1716396831425,B,0,0,4,0,mh yeah is there like a number you wanna start with and we could go from there,75.21973,84.887566,0.0,17,70.56006500000001
