person_id,audio_filename,video_filename
1716394832459-db41e853-926f-4c16-9ce7-3a223f7cc9f8,1716394832459-db41e853-926f-4c16-9ce7-3a223f7cc9f8-cam-audio-1716394833401,1716394832459-db41e853-926f-4c16-9ce7-3a223f7cc9f8-cam-video-1716394833403
1716394601678-ee104f96-6e22-4f19-9b30-b9af27e3e319,1716394601678-ee104f96-6e22-4f19-9b30-b9af27e3e319-cam-audio-1716394602677,1716394601678-ee104f96-6e22-4f19-9b30-b9af27e3e319-cam-video-1716394602678
1716394601678-324b2168-4b73-4a62-aca9-97c36159e72e,1716394601678-324b2168-4b73-4a62-aca9-97c36159e72e-cam-audio-1716394604919,1716394601678-324b2168-4b73-4a62-aca9-97c36159e72e-cam-video-1716394604921
1716394927888-4a39409d-f8dc-4cd3-9218-9b308e546b16,1716394927888-4a39409d-f8dc-4cd3-9218-9b308e546b16-cam-audio-1716394928867,1716394927888-4a39409d-f8dc-4cd3-9218-9b308e546b16-cam-video-1716394928870
1716394927888-fdb1613a-a308-40c5-a93d-0c8bdf0a422c,1716394927888-fdb1613a-a308-40c5-a93d-0c8bdf0a422c-cam-audio-1716394929955,1716394927888-fdb1613a-a308-40c5-a93d-0c8bdf0a422c-cam-video-1716394929956
1716394470859-4b97f019-2458-4397-a5f8-83f77ef3ed6d,1716394470859-4b97f019-2458-4397-a5f8-83f77ef3ed6d-cam-audio-1716394471839,1716394470859-4b97f019-2458-4397-a5f8-83f77ef3ed6d-cam-video-1716394471835
1716394470859-34198aab-4c3d-4152-88d5-12315cc59637,1716394470859-34198aab-4c3d-4152-88d5-12315cc59637-cam-audio-1716394471837,1716394470859-34198aab-4c3d-4152-88d5-12315cc59637-cam-video-1716394471840
1716394420177-0034cd93-7d3f-4f75-8fc4-2a2f9470b784,1716394420177-0034cd93-7d3f-4f75-8fc4-2a2f9470b784-cam-audio-1716394421126,1716394420177-0034cd93-7d3f-4f75-8fc4-2a2f9470b784-cam-video-1716394421127
1716394420177-9d86f106-9e93-49eb-8bec-b0a2b89f001c,1716394420177-9d86f106-9e93-49eb-8bec-b0a2b89f001c-cam-audio-1716394421794,1716394420177-9d86f106-9e93-49eb-8bec-b0a2b89f001c-cam-video-1716394421796
1716394930538-935c5110-54ed-4aed-a425-cd62f29fa870,1716394930538-935c5110-54ed-4aed-a425-cd62f29fa870-cam-audio-1716394931499,1716394930538-935c5110-54ed-4aed-a425-cd62f29fa870-cam-video-1716394931502
1716394930538-48a51402-8bba-41b7-aff3-0f0a9797a10b,1716394930538-48a51402-8bba-41b7-aff3-0f0a9797a10b-cam-audio-1716394931501,1716394930538-48a51402-8bba-41b7-aff3-0f0a9797a10b-cam-video-1716394931497
1716394796991-a3a240da-5185-4971-811f-510c021efb1c,1716394796991-a3a240da-5185-4971-811f-510c021efb1c-cam-audio-1716394797955,1716394796991-a3a240da-5185-4971-811f-510c021efb1c-cam-video-1716394797951
1716394796991-95ad14ba-307c-4753-a5e3-6a9b114eba22,1716394796991-95ad14ba-307c-4753-a5e3-6a9b114eba22-cam-audio-1716394797954,1716394796991-95ad14ba-307c-4753-a5e3-6a9b114eba22-cam-video-1716394797956
1716394818065-0a4cab0d-d844-4edf-8ce1-b05ceb6fc134,1716394818065-0a4cab0d-d844-4edf-8ce1-b05ceb6fc134-cam-audio-1716394819056,1716394818065-0a4cab0d-d844-4edf-8ce1-b05ceb6fc134-cam-video-1716394819053
1716394818065-9d4099f8-5301-4119-b381-fe72e559a5bc,1716394818065-9d4099f8-5301-4119-b381-fe72e559a5bc-cam-audio-1716394819055,1716394818065-9d4099f8-5301-4119-b381-fe72e559a5bc-cam-video-1716394819058
1716395098719-67067052-ffa5-410f-90ad-946bb2fde455,1716395098719-67067052-ffa5-410f-90ad-946bb2fde455-cam-audio-1716395099700,1716395098719-67067052-ffa5-410f-90ad-946bb2fde455-cam-video-1716395099697
1716395098719-6710b02f-671c-4b90-b15d-90f1e8e7d7c5,1716395098719-6710b02f-671c-4b90-b15d-90f1e8e7d7c5-cam-audio-1716395099699,1716395098719-6710b02f-671c-4b90-b15d-90f1e8e7d7c5-cam-video-1716395099702
1716394729737-d554b9ba-acae-4b61-bad7-c0b381833fe7,1716394729737-d554b9ba-acae-4b61-bad7-c0b381833fe7-cam-audio-1716395744731,1716394729737-d554b9ba-acae-4b61-bad7-c0b381833fe7-cam-video-1716395744733
1716394729737-299695c8-0fbc-4abd-bb9c-88c7ffcd9cb1,1716394729737-299695c8-0fbc-4abd-bb9c-88c7ffcd9cb1-cam-audio-1716394730714,1716394729737-299695c8-0fbc-4abd-bb9c-88c7ffcd9cb1-cam-video-1716394730718
1716394729737-e6d6b9dd-d925-49e2-8133-b3b743aea72d,1716394729737-e6d6b9dd-d925-49e2-8133-b3b743aea72d-cam-audio-1716394730717,1716394729737-e6d6b9dd-d925-49e2-8133-b3b743aea72d-cam-video-1716394730712
1716395146310-fa64e36b-7ec5-4b34-95d4-74951a4053de,1716395146310-fa64e36b-7ec5-4b34-95d4-74951a4053de-cam-audio-1716395150123,1716395146310-fa64e36b-7ec5-4b34-95d4-74951a4053de-cam-video-1716395150124
1716395146310-0abd3e3c-46d0-4c64-9be7-99c00a2d7416,1716395146310-0abd3e3c-46d0-4c64-9be7-99c00a2d7416-cam-audio-1716395147274,1716395146310-0abd3e3c-46d0-4c64-9be7-99c00a2d7416-cam-video-1716395147276
1716395209566-1c712a8d-cf67-4b4a-b284-52efc95d0b2d,1716395209566-1c712a8d-cf67-4b4a-b284-52efc95d0b2d-cam-audio-1716395210566,1716395209566-1c712a8d-cf67-4b4a-b284-52efc95d0b2d-cam-video-1716395210562
1716395209566-5d8e18d0-7392-4765-bcd8-aab767389071,1716395209566-5d8e18d0-7392-4765-bcd8-aab767389071-cam-audio-1716395210564,1716395209566-5d8e18d0-7392-4765-bcd8-aab767389071-cam-video-1716395210565
1716394507208-35c603e4-2275-4f7b-a2bb-c2333fa0f95d,1716394507208-35c603e4-2275-4f7b-a2bb-c2333fa0f95d-cam-audio-1716394508197,1716394507208-35c603e4-2275-4f7b-a2bb-c2333fa0f95d-cam-video-1716394508193
1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-video-1716394508198
1716396074631-a97bb73a-de37-419c-b56a-9a3cf8c43d30,1716396074631-a97bb73a-de37-419c-b56a-9a3cf8c43d30-cam-audio-1716396075691,1716396074631-a97bb73a-de37-419c-b56a-9a3cf8c43d30-cam-video-1716396075695
1716396074631-03fabe6a-5cac-4260-bb7d-66ee770c9446,1716396074631-03fabe6a-5cac-4260-bb7d-66ee770c9446-cam-audio-1716396075694,1716396074631-03fabe6a-5cac-4260-bb7d-66ee770c9446-cam-video-1716396075689
1716395262753-a9148940-30ab-4dae-9502-52fb6494fa06,1716395262753-a9148940-30ab-4dae-9502-52fb6494fa06-cam-audio-1716395263701,1716395262753-a9148940-30ab-4dae-9502-52fb6494fa06-cam-video-1716395263699
1716395262753-0f5cb81b-102e-4344-9e53-317ec65118cf,1716395262753-0f5cb81b-102e-4344-9e53-317ec65118cf-cam-audio-1716395263700,1716395262753-0f5cb81b-102e-4344-9e53-317ec65118cf-cam-video-1716395263702
1716394738796-2165b404-0a01-474a-866f-67d42c5d37ce,1716394738796-2165b404-0a01-474a-866f-67d42c5d37ce-cam-audio-1716395961867,1716394738796-2165b404-0a01-474a-866f-67d42c5d37ce-cam-video-1716395961868
1716394738796-826052de-69b6-4103-8156-eb08d5ad0276,1716394738796-826052de-69b6-4103-8156-eb08d5ad0276-cam-audio-1716395553080,1716394738796-826052de-69b6-4103-8156-eb08d5ad0276-cam-video-1716395553283
1716394738796-833debf2-71fb-44fc-9339-0c1748f93ba7,1716394738796-833debf2-71fb-44fc-9339-0c1748f93ba7-cam-audio-1716394739800,1716394738796-833debf2-71fb-44fc-9339-0c1748f93ba7-cam-video-1716394739804
1716394738796-4feaeee2-d440-42a0-b42b-c55292b49dd8,1716394738796-4feaeee2-d440-42a0-b42b-c55292b49dd8-cam-audio-1716395586152,1716394738796-4feaeee2-d440-42a0-b42b-c55292b49dd8-cam-video-1716395586153
1716394969658-1a569948-8381-409b-9a04-fbb484b191a4,1716394969658-1a569948-8381-409b-9a04-fbb484b191a4-cam-audio-1716394970693,1716394969658-1a569948-8381-409b-9a04-fbb484b191a4-cam-video-1716394970695
1716394969658-2248af99-a4b6-4751-9a88-3b9a64c283c5,1716394969658-2248af99-a4b6-4751-9a88-3b9a64c283c5-cam-audio-1716394973407,1716394969658-2248af99-a4b6-4751-9a88-3b9a64c283c5-cam-video-1716394973409
1716394969658-1ae18e85-fddc-4d66-b32e-7f543e751d6c,1716394969658-1ae18e85-fddc-4d66-b32e-7f543e751d6c-cam-audio-1716395991547,1716394969658-1ae18e85-fddc-4d66-b32e-7f543e751d6c-cam-video-1716395991548
1716394151038-9edee9b5-1b56-490c-b420-eb6f92a10f95,1716394151038-9edee9b5-1b56-490c-b420-eb6f92a10f95-cam-audio-1716394152046,1716394151038-9edee9b5-1b56-490c-b420-eb6f92a10f95-cam-video-1716394152042
1716394151038-920cfc35-fe31-44d0-bf10-105793bd1633,1716394151038-920cfc35-fe31-44d0-bf10-105793bd1633-cam-audio-1716394152045,1716394151038-920cfc35-fe31-44d0-bf10-105793bd1633-cam-video-1716394152048
1716395041511-75ab05f9-741f-4ded-b10d-95f7184dfb97,1716395041511-75ab05f9-741f-4ded-b10d-95f7184dfb97-cam-audio-1716395042911,1716395041511-75ab05f9-741f-4ded-b10d-95f7184dfb97-cam-video-1716395042915
1716395041511-331a6400-dda5-4364-8d10-dddae9a34b84,1716395041511-331a6400-dda5-4364-8d10-dddae9a34b84-cam-audio-1716395042913,1716395041511-331a6400-dda5-4364-8d10-dddae9a34b84-cam-video-1716395042908
1716394783732-35a17437-324d-4965-bf67-12b11526db68,1716394783732-35a17437-324d-4965-bf67-12b11526db68-cam-audio-1716394790503,1716394783732-35a17437-324d-4965-bf67-12b11526db68-cam-video-1716394790504
1716394783732-ed6c4b3a-8f91-4de2-a3d7-a52ba60b5dc0,1716394783732-ed6c4b3a-8f91-4de2-a3d7-a52ba60b5dc0-cam-audio-1716394784718,1716394783732-ed6c4b3a-8f91-4de2-a3d7-a52ba60b5dc0-cam-video-1716394784720
1716395294891-01b432f6-d66b-4655-8200-25bef827e588,1716395294891-01b432f6-d66b-4655-8200-25bef827e588-cam-audio-1716395295876,1716395294891-01b432f6-d66b-4655-8200-25bef827e588-cam-video-1716395295879
1716395294891-28e80318-c304-4b03-9381-86bd8903e244,1716395294891-28e80318-c304-4b03-9381-86bd8903e244-cam-audio-1716395299552,1716395294891-28e80318-c304-4b03-9381-86bd8903e244-cam-video-1716395299551
1716394665822-dab5468a-d9c0-4cdd-aaeb-7af47adb201e,1716394665822-dab5468a-d9c0-4cdd-aaeb-7af47adb201e-cam-audio-1716394666781,1716394665822-dab5468a-d9c0-4cdd-aaeb-7af47adb201e-cam-video-1716394666777
1716394665822-52745460-07f9-4c6e-a2d8-e560c41343d2,1716394665822-52745460-07f9-4c6e-a2d8-e560c41343d2-cam-audio-1716394666780,1716394665822-52745460-07f9-4c6e-a2d8-e560c41343d2-cam-video-1716394666782
1716395028170-d033f425-9e75-4aae-9a7a-a3371ddf864f,1716395028170-d033f425-9e75-4aae-9a7a-a3371ddf864f-cam-audio-1716395029146,1716395028170-d033f425-9e75-4aae-9a7a-a3371ddf864f-cam-video-1716395029150
1716395028170-1b8ff771-b767-4e5d-b5bf-31f527a31bd8,1716395028170-1b8ff771-b767-4e5d-b5bf-31f527a31bd8-cam-audio-1716395029147,1716395028170-1b8ff771-b767-4e5d-b5bf-31f527a31bd8-cam-video-1716395029144
1716394560967-3eaedfba-769c-423e-a160-b3a56bac9f3a,1716394560967-3eaedfba-769c-423e-a160-b3a56bac9f3a-cam-audio-1716394561996,1716394560967-3eaedfba-769c-423e-a160-b3a56bac9f3a-cam-video-1716394561993
1716394560967-4e5e9388-c491-4632-b5c8-3531540a82cf,1716394560967-4e5e9388-c491-4632-b5c8-3531540a82cf-cam-audio-1716394561995,1716394560967-4e5e9388-c491-4632-b5c8-3531540a82cf-cam-video-1716394561997
1716395024278-d5930aac-68e1-4fb8-a151-279555b71fe2,1716395024278-d5930aac-68e1-4fb8-a151-279555b71fe2-cam-audio-1716395024736,1716395024278-d5930aac-68e1-4fb8-a151-279555b71fe2-cam-video-1716395024732
1716395024278-24a8b470-1de4-48d1-8779-8c532e277d67,1716395024278-24a8b470-1de4-48d1-8779-8c532e277d67-cam-audio-1716395024734,1716395024278-24a8b470-1de4-48d1-8779-8c532e277d67-cam-video-1716395024737
1716396830476-94efdc3a-3f86-41c3-bf7a-fb60f737a28a,1716396830476-94efdc3a-3f86-41c3-bf7a-fb60f737a28a-cam-audio-1716396831425,1716396830476-94efdc3a-3f86-41c3-bf7a-fb60f737a28a-cam-video-1716396831427
1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-video-1716396836293
1716394770059-e7295d29-cdd4-40c7-b89b-8be6188acb73,1716394770059-e7295d29-cdd4-40c7-b89b-8be6188acb73-cam-audio-1716394771025,1716394770059-e7295d29-cdd4-40c7-b89b-8be6188acb73-cam-video-1716394771028
1716394770059-4b2605e8-efd5-43e2-bf66-401745168ba5,1716394770059-4b2605e8-efd5-43e2-bf66-401745168ba5-cam-audio-1716394771026,1716394770059-4b2605e8-efd5-43e2-bf66-401745168ba5-cam-video-1716394771021
1716394769130-de740010-7216-427a-8b54-ab5bb6079688,1716394769130-de740010-7216-427a-8b54-ab5bb6079688-cam-audio-1716394770094,1716394769130-de740010-7216-427a-8b54-ab5bb6079688-cam-video-1716394770091
1716394769130-5bc07473-1810-4da7-a57d-d89e4923478b,1716394769130-5bc07473-1810-4da7-a57d-d89e4923478b-cam-audio-1716394770093,1716394769130-5bc07473-1810-4da7-a57d-d89e4923478b-cam-video-1716394770096
1716395083742-f7b8be61-b042-4877-bcce-3f228c060c0e,1716395083742-f7b8be61-b042-4877-bcce-3f228c060c0e-cam-audio-1716395084728,1716395083742-f7b8be61-b042-4877-bcce-3f228c060c0e-cam-video-1716395084731
1716395083742-d5bd0f20-31de-4980-8491-4769a26f28e9,1716395083742-d5bd0f20-31de-4980-8491-4769a26f28e9-cam-audio-1716395084729,1716395083742-d5bd0f20-31de-4980-8491-4769a26f28e9-cam-video-1716395084727
1716394481617-302900d4-8a64-4ca5-81ab-4f4eb21c7cdf,1716394481617-302900d4-8a64-4ca5-81ab-4f4eb21c7cdf-cam-audio-1716394482603,1716394481617-302900d4-8a64-4ca5-81ab-4f4eb21c7cdf-cam-video-1716394482606
1716394481617-fc7d2f6f-2385-4713-8d5e-75ccdb643462,1716394481617-fc7d2f6f-2385-4713-8d5e-75ccdb643462-cam-audio-1716394482605,1716394481617-fc7d2f6f-2385-4713-8d5e-75ccdb643462-cam-video-1716394482601
1716395237689-91d8c598-6197-45c4-b3c7-8b4199acdc3d,1716395237689-91d8c598-6197-45c4-b3c7-8b4199acdc3d-cam-audio-1716395238126,1716395237689-91d8c598-6197-45c4-b3c7-8b4199acdc3d-cam-video-1716395238128
1716395237689-9c110cd1-6e87-4e29-a2d2-e1fe3955cfd5,1716395237689-9c110cd1-6e87-4e29-a2d2-e1fe3955cfd5-cam-audio-1716395241664,1716395237689-9c110cd1-6e87-4e29-a2d2-e1fe3955cfd5-cam-video-1716395241665
1716394940868-b7d813dc-5d36-45e5-b11d-1f13af1ce55e,1716394940868-b7d813dc-5d36-45e5-b11d-1f13af1ce55e-cam-audio-1716394941842,1716394940868-b7d813dc-5d36-45e5-b11d-1f13af1ce55e-cam-video-1716394941844
1716394940868-5349d99f-1db8-4d3b-9c69-a1fdab8f96eb,1716394940868-5349d99f-1db8-4d3b-9c69-a1fdab8f96eb-cam-audio-1716394943894,1716394940868-5349d99f-1db8-4d3b-9c69-a1fdab8f96eb-cam-video-1716394943895
1716394431006-0f0c9442-01e7-46e6-8b2d-a63c3e686bd3,1716394431006-0f0c9442-01e7-46e6-8b2d-a63c3e686bd3-cam-audio-1716394435411,1716394431006-0f0c9442-01e7-46e6-8b2d-a63c3e686bd3-cam-video-1716394435412
1716394431006-ec9a026b-b651-40ab-8a91-34d0df726c00,1716394431006-ec9a026b-b651-40ab-8a91-34d0df726c00-cam-audio-1716394432006,1716394431006-ec9a026b-b651-40ab-8a91-34d0df726c00-cam-video-1716394432009
1716394409683-187ba890-fae9-407b-9e04-d385663dc7ab,1716394409683-187ba890-fae9-407b-9e04-d385663dc7ab-cam-audio-1716394410668,1716394409683-187ba890-fae9-407b-9e04-d385663dc7ab-cam-video-1716394410664
1716394409683-daa44885-b66c-4df9-9750-3c4cc6010312,1716394409683-daa44885-b66c-4df9-9750-3c4cc6010312-cam-audio-1716394410667,1716394409683-daa44885-b66c-4df9-9750-3c4cc6010312-cam-video-1716394410669
1716394913003-43da91be-3d02-412c-90e5-99f971cb9b20,1716394913003-43da91be-3d02-412c-90e5-99f971cb9b20-cam-audio-1716394914001,1716394913003-43da91be-3d02-412c-90e5-99f971cb9b20-cam-video-1716394914004
1716394913003-5732cac5-22f8-4611-b159-997cdc749087,1716394913003-5732cac5-22f8-4611-b159-997cdc749087-cam-audio-1716394919546,1716394913003-5732cac5-22f8-4611-b159-997cdc749087-cam-video-1716394919548
1716394816623-49a7c057-032e-4b37-8dbb-5ea7060132dd,1716394816623-49a7c057-032e-4b37-8dbb-5ea7060132dd-cam-audio-1716394817596,1716394816623-49a7c057-032e-4b37-8dbb-5ea7060132dd-cam-video-1716394817600
1716394816623-29371018-aa51-4cb0-8ab4-acb3364dfedd,1716394816623-29371018-aa51-4cb0-8ab4-acb3364dfedd-cam-audio-1716394817599,1716394816623-29371018-aa51-4cb0-8ab4-acb3364dfedd-cam-video-1716394817594
1716394563909-40745c14-1ae9-4576-a1ac-543cc4974762,1716394563909-40745c14-1ae9-4576-a1ac-543cc4974762-cam-audio-1716394564899,1716394563909-40745c14-1ae9-4576-a1ac-543cc4974762-cam-video-1716394564902
1716394400495-4811ec69-a66f-4e78-8722-1d553fcc3bb4,1716394400495-4811ec69-a66f-4e78-8722-1d553fcc3bb4-cam-audio-1716394401475,1716394400495-4811ec69-a66f-4e78-8722-1d553fcc3bb4-cam-video-1716394401471
1716394400495-515d1e33-4cbe-4958-bd9a-5f276c25b815,1716394400495-515d1e33-4cbe-4958-bd9a-5f276c25b815-cam-audio-1716394401473,1716394400495-515d1e33-4cbe-4958-bd9a-5f276c25b815-cam-video-1716394401476
1716394836688-f2949717-a15e-4dbe-af88-7c256113aadf,1716394836688-f2949717-a15e-4dbe-af88-7c256113aadf-cam-audio-1716394837700,1716394836688-f2949717-a15e-4dbe-af88-7c256113aadf-cam-video-1716394837696
1716394836688-40702634-31f3-41bf-8cb8-47db3919c928,1716394836688-40702634-31f3-41bf-8cb8-47db3919c928-cam-audio-1716394837698,1716394836688-40702634-31f3-41bf-8cb8-47db3919c928-cam-video-1716394837702
1716394944722-d5f4414f-2cab-41fd-ad1c-68a28de1818c,1716394944722-d5f4414f-2cab-41fd-ad1c-68a28de1818c-cam-audio-1716394945695,1716394944722-d5f4414f-2cab-41fd-ad1c-68a28de1818c-cam-video-1716394945698
1716394944722-3787afa3-0344-4f0a-abba-0979b0af1ff9,1716394944722-3787afa3-0344-4f0a-abba-0979b0af1ff9-cam-audio-1716394945697,1716394944722-3787afa3-0344-4f0a-abba-0979b0af1ff9-cam-video-1716394945693
1716395718241-5960d5e7-6435-4f56-ba93-20e6d11cd490,1716395718241-5960d5e7-6435-4f56-ba93-20e6d11cd490-cam-audio-1716395719209,1716395718241-5960d5e7-6435-4f56-ba93-20e6d11cd490-cam-video-1716395719211
1716395718241-2f696c70-1341-4ea9-bc2d-d7bc53649c5c,1716395718241-2f696c70-1341-4ea9-bc2d-d7bc53649c5c-cam-audio-1716395747749,1716395718241-2f696c70-1341-4ea9-bc2d-d7bc53649c5c-cam-video-1716395747750
