groupId,playerId,AwarenessMonitoringGrowth_aggregated_normGrowthMindset,AwarenessMonitoringGrowth_aggregated_normSelfAwareness,AwarenessMonitoringGrowth_aggregated_normSelfMonitoring,AwarenessMonitoringGrowth_aggregated_rawGrowthMindset,AwarenessMonitoringGrowth_aggregated_rawSelfAwareness,AwarenessMonitoringGrowth_aggregated_rawSelfMonitoring,AwarenessMonitoringGrowth_raw_canAdjust,AwarenessMonitoringGrowth_raw_emotionalIntuition,AwarenessMonitoringGrowth_raw_fixedIntelligence,AwarenessMonitoringGrowth_raw_goingOnAroundMe,AwarenessMonitoringGrowth_raw_innermostThoughts,AwarenessMonitoringGrowth_raw_onlyLearnNewThings,AwarenessMonitoringGrowth_raw_othersThinkOfMe,AwarenessMonitoringGrowth_raw_tellInappropriate,AwarenessMonitoringGrowth_raw_troubleChanging,AwarenessMonitoringGrowth_time_seconds,CulturalConflictNorms_aggregated_normConflictOpenness,CulturalConflictNorms_aggregated_rawConflictOpenness,CulturalConflictNorms_raw_avoidConflict,CulturalConflictNorms_raw_conflictIsDetrimental,CulturalConflictNorms_raw_differencesAvoided,CulturalConflictNorms_raw_disagreementsEncouraged,CulturalConflictNorms_raw_emotionAccepted,CulturalConflictNorms_raw_openConflict,CulturalConflictNorms_raw_resolveImmediately,CulturalConflictNorms_time_seconds,TIPI_aggregated_normAgreeableness,TIPI_aggregated_normConscientiousness,TIPI_aggregated_normEmotionalStability,TIPI_aggregated_normExtroversion,TIPI_aggregated_normOpennessToExperience,TIPI_aggregated_rawAgreeableness,TIPI_aggregated_rawConscientiousness,TIPI_aggregated_rawEmotionalStability,TIPI_aggregated_rawExtroversion,TIPI_aggregated_rawOpennessToExperience,TIPI_raw_anxiety,TIPI_raw_calmness,TIPI_raw_carelessness,TIPI_raw_conventionality,TIPI_raw_criticalness,TIPI_raw_dependability,TIPI_raw_extroversion,TIPI_raw_openness,TIPI_raw_quietness,TIPI_raw_sympathy,TIPI_time_seconds,deal_sheet_agreement_binary,deal_sheet_deal_price,deal_sheet_return_fund_binary,deal_sheet_special_terms,deal_sheet_trip_binary,demographics,demographics_birth_year,demographics_country_reside,demographics_education_UK,demographics_education_US,demographics_employment_status,demographics_english_spoken,demographics_english_written,demographics_ethnicity_UK,demographics_gender,demographics_gender_other,demographics_income_UK,demographics_income_US,demographics_language_primary,demographics_latin_US,demographics_marital_status,demographics_race_US,post_negotiation_conflict_1,post_negotiation_conflict_2,post_negotiation_conflict_3,post_negotiation_conflict_4,post_negotiation_decision_leadership_1,post_negotiation_decision_leadership_2,post_negotiation_goal_similarity,post_negotiation_open_ended_feedback,post_negotiation_partner_competent,post_negotiation_partner_liked,post_negotiation_partner_tension,post_negotiation_viability_1,post_negotiation_viability_2,pre_negotiation_strategy,pre_negotiation_target_price,role
01HVPCV1NQK4D5S1HW7R2VK8DQ,01HVPCNHQA29EH3PV9XV3R8FNW,0.250,0.611,0.750,2.500,4.667,5.500,6,5,2,6,3,3,5,5,2,32.189,0.667,5.000,2,5,2,6,6,6,6,22.962,0.250,0.333,0.583,0.667,0.833,2.500,3.000,4.500,5.000,6.000,4,5,4,2,6,2,5,6,3,3,31.245,Yes,"250,000",Yes,I get paid time off for 6 months and then 15 more months unpaid. ,Yes,,2004,United States,,3,A student,5,5,,female,,,"$150,000 or more",English,Yes,Single Never Married,['White'],6,2,1,1,2,5,6,"Super fun!
",7,7,1,7,6,"I was not smart about how much money I spent upfront. I am a respected scholar and would love to sell my patents. I will also talk about how my colleague got paid up to 400,000 for less valuable patents than I have at a different company so I wull use this to sell to the provost. ","400,000",Star Scientist
01HVPCV1NQK4D5S1HW7R2VK8DQ,01HVPCK9JADMXY3KSP8CF3XY2R,0.667,0.889,0.750,5.000,6.333,5.500,7,3,5,7,7,5,5,5,1,46.781,0.429,3.571,6,3,4,5,3,4,6,43.151,0.667,0.583,0.833,0.833,0.750,5.000,4.500,6.000,6.000,5.500,2,6,4,2,4,5,6,5,2,6,49.811,Yes,"250,000",Yes,Pay 6 months of salary for a paid sabbatical. And 15 more months of unpaid leave.,Yes,,2005,United States,,4,A student,5,5,,female,,,"$50,000-$74,999",English,No,Single Never Married,['White'],6,5,3,3,3,5,5,"Negotiation was interesting. I knew that my ""star-scientist"" had an agenda as well as what they wanted to get paid but I had to provide information about my bottom line.",6,6,4,6,6,"The opening bid is 215,000. We can negotiate a paid sabbatical.","225,000",Provost
01HVPCN403YVHE58ZS17XS8YZT,01HVPCGFHXBQJWFQSC3R66RMB4,0.667,0.722,0.625,5.000,5.333,4.750,4,7,4,6,5,6,5,6,6,37.184,0.476,3.857,3,6,3,2,5,6,6,22.769,0.750,1.000,0.167,0.417,1.000,5.500,7.000,2.000,3.500,7.000,6,2,1,1,2,7,4,7,5,5,21.953,Yes,"275,000",No,"Will nominate this faculty as president of their department with a base pay raise. They will have opportunities to partner with university sponsors and earn more outside compensation. 
Funding opportunities that look like 50-80%, and more sabbatical time. ",Yes,,1998,United States,,6,A student,4,4,,female,,,"$50,000-$74,999",English,,Single Never Married,"['White', 'Native Hawaiian or other Pacific Islander', 'Other']",5,6,3,3,2,6,1,"I think that starting at low price and moving up is this best
",5,5,3,6,5,"Emphasize retention and the importance of retaining star faculty for the purpose of institutional reputation and research excellence. 
I would like to open with a bid lower than my target price to have some room for negotiating leverage. 
Emphasize necessity to maintain precedent and not set harmful or unsustainable precedents due to unequal treatment. Reinforce fairness in compensation. ","250,000",Provost
01HVPCN403YVHE58ZS17XS8YZT,01HVPCFTSBQBKRWTDVTVT3S5E1,0.167,0.556,0.708,2.000,4.333,5.250,4,6,2,5,4,2,4,6,3,19.022,0.476,3.857,4,4,3,3,3,3,3,24.973,0.750,0.417,0.583,0.333,0.500,5.500,3.500,4.500,3.000,4.000,3,4,5,5,3,4,3,5,5,6,19.975,Yes,"275,000",No,"Nomination as president once return from sabbatical , 15% pay raise.
More power delegations when back.
Outside funding opportunities, outside investments to provide other funding to fully fund the trip (50-80k). This would cover the remaining costs ",Yes,,2004,United States,,4,A student,5,5,,female,,,"$150,000 or more",English,No,Single Never Married,"['White', 'Asian']",6,3,1,1,3,3,5,I don't know a lot about negotiation so I wasn't exactly sure the best way to approach this or what tactics to use but overall I think it went fine.,7,7,1,7,7,Start with a higher number then work down,"355,000",Star Scientist
01HVPCZ03FC7XJN0F14WQGCA6C,01HVPCNNMSXG8F52DV9GYYYV7A,0.750,0.444,0.792,5.500,3.667,5.750,5,6,5,3,5,6,3,6,2,53.159,0.714,5.286,2,2,2,6,5,6,6,30.615,0.583,0.750,0.833,0.833,0.500,4.500,5.500,6.000,6.000,4.000,2,6,2,3,5,5,6,3,2,6,54.477,Yes,"375,000",No,"275,000 for share of the patent and 100,000 for the sabbatical ",Yes,,2004,United States,,3,A student,5,5,,female,,,"$50,000-$74,999",English,No,Single Never Married,['Asian'],6,2,1,1,4,3,7,"We both had different requirements and opinions, but both were lenient to change so it went well. ",7,6,2,7,7,I will ask if they want to buy a portion of the patent. Or for them to suggest a price themself and ask for reasons and find a reasonable result for the both of us. ,"200,000",Provost
01HVPCZ03FC7XJN0F14WQGCA6C,01HVPCM49HC58V3EA93XSVVMBA,0.583,0.500,0.625,4.500,4.000,4.750,5,5,4,5,4,5,3,5,4,33.674,0.429,3.571,5,2,5,2,2,3,2,30.803,0.667,0.750,0.833,0.750,0.417,5.000,5.500,6.000,5.500,3.500,2,6,3,5,3,6,6,4,3,5,34.477,Yes,"375,000",Yes,"I would be taking a 6 month sabbatical instead of a 9 month which I accepted since the provost said this was a university rule and I was getting 20,000 more than I needed which meant I had enough funding for my trip and for a return fund and a little extra to spare which to me was worth the shortened 3 month sabbatical since I really just wanted the 12 month trip and break without work. ",Yes,,2005,United States,,4,A student,5,5,,female,,,"$100,000-$149,999",English,No,Single Never Married,['White'],6,5,4,4,1,6,3,She proposed a significantly lower price than what I wanted however I feel like I explained it to her and went about it as paying me for two separate things - the sabbatical and the share of my patent and in the long-run she gave me the total amount of money I wanted...actually more than I needed. ,7,7,6,6,6,"I am going to tell them that I want 21 months off, 12 for myself and 9 sabbatical, explain how and why I want to do this, talk about universities do better when partnering with researchers discoveries and also tell them that I don't really need them by showcasing my other option, am opening with asking for 410,000 - 400,000 and will work my way down ","360,000",Star Scientist
01HVPCZ03JDN38657SWBBQSTDJ,01HVPCNPVDZXZJJJ1F4HBY3JF0,0.167,0.722,0.792,2.000,5.333,5.750,6,5,2,6,7,2,3,6,2,30.603,0.595,4.571,3,6,3,4,5,7,4,58.117,0.917,0.833,1.000,0.583,0.750,6.500,6.000,7.000,4.500,5.500,1,7,2,2,2,6,5,5,4,7,32.922,No,N/A - we did not reach an agreement,No,"A year long sabbatical was offered (paid for only up to 6 months). An addition offer of a sabbatical longer than a year was offered. The scientist initially said he wouldn't accept an offer less than 330,000 pounds but then lowered it to 300,000 pounds.",No,,2003,United States,,3,A student,5,5,,male,,,"$150,000 or more",English,No,Single Never Married,['Black or African-American'],7,3,1,1,3,6,3,"I have never negotiated before, so this was an interesting experiment. I was nervous at first that I wouldn't remember all of the relevant information, but the conversation was very straightforward and we both stuck to our respective goals, resulting in no offer being issued.
",7,7,1,7,6,"build price up, offer fully paid sabbatical for 6 months, be willing to offer more than a year of sabbatical
-if I can't achieve a deal, let the faculty go
-show interest/appreciation for faculty and express that you want them to stay, but not at the cost of worsening the culture of the university","100,000",Provost
01HVPCZ03JDN38657SWBBQSTDJ,01HVPCTZAYPD4FAD0D4HX7NPR6,0.667,0.778,0.667,5.000,5.667,5.000,5,6,6,5,7,4,5,6,5,29.233,0.500,4.000,4,5,3,5,4,5,6,19.478,0.583,0.583,0.583,0.917,0.583,4.500,4.500,4.500,6.500,4.500,4,5,3,5,4,4,7,6,2,5,20.803,No,no agreed upon price,Yes,"We did not reach an agreement, I plan to sell it privately. I would have taken too much of a loss. The trip will take place only if I can get more money from the private market. unfortunately, the provost set a target way too low and there was no way I was going to accept 200,000, as I would be taking a huge loss I cannot afford. I am going to answer yes for trip taking place and yes for return fund assuming I get more money from the private side.",Yes,,2004,China,,,A student,5,5,,male,,,,English,,Single Never Married,,7,3,2,1,7,6,5,"Unfortunately, the instructions of a hard price target that she was given were way too low for what I was given, and agreeing on a certain price was just not an option for us. She offered 200, and I need at the bare minimum 250, which would have still put me 95k below what I needed, which wasn't really an option. I figured that the commercial market will get me more for it, and given the work I have done I deserve more for it. She kindly offered extended terms on my sabbatical but only unpaid. Unfortunately the interests of the university and the interests of mine did not align. ",7,6,4,7,6,"I want to open it up at 400,000, and stress that it is in the university's best interests to retain my lab. Were I to take it to someone else, they could lose my progress. 

I will not go below 355k, as I simply don't have the funds and will not go net negative.  Goal is 380k ","400,000",Star Scientist
01HVPCWHEQKQCSDTSWP55EH2Z6,01HVPCNB6RHVCNK2ZYNWBB9MK8,0.167,0.556,0.708,2.000,4.333,5.250,5,5,2,5,5,2,3,5,2,34.564,0.643,4.857,5,3,2,6,5,6,5,21.898,0.833,0.750,0.750,0.667,0.667,6.000,5.500,5.500,5.000,5.000,2,5,2,3,2,5,5,5,3,6,26.926,No,N/A,No,N/A,No,,2005,United States,,3,Employed for wages,5,5,,female,,,"$30,000-$39,999",English,No,Single Never Married,['Asian'],7,7,2,2,4,3,3,"I feel that it was difficult to reach an agreement on either of our ends because we had different prices that we were able to pay and could not go above or below that. The sabbatical was the only part we agreed on but since the payment did not match up, we could still not go through with the deal. I enjoyed attempting to negotiate with my partner. They were reasonable and seemed knowledgeable about the subject. ",7,7,2,6,6,"I plan to start by talking about how valuable the faculty member is. I'm willing to buy out the interest in the portfolio with 150,000. I feel like this is very reasonable. I'll also talk about how I'm willing to throw in an extra 3 months sabbatical.",250000,Provost
01HVPCWHEQKQCSDTSWP55EH2Z6,01HVPCNG2KHXMN7K8PFDTAKGXW,0.250,0.833,0.750,2.500,6.000,5.500,6,7,3,6,5,2,7,7,6,40.551,0.476,3.857,2,6,5,4,3,5,4,34.679,0.833,1.000,0.333,1.000,0.917,6.000,7.000,3.000,7.000,6.500,6,4,1,2,2,7,7,7,1,6,23.36,No,n/a,No,n/a,No,,1997,United States,,6,A student,5,5,,male,,,"$150,000 or more",English,No,Single Never Married,['White'],7,4,2,4,4,6,6,I don't think there was any combination that would work to reach a deal because I needed 355k and the University simply could not provide that ,6,6,4,6,6,Friend received $400k for less valuable patent. Want to start high and then go low in case University does not accept. Want a buffer for the 355k,450000,Star Scientist
01HVPCXMXT6HG3YWC3SQPEARF2,01HVPCNBCKCNH8XBGGWJ533ZZ4,0.167,0.444,0.833,2.000,3.667,6.000,6,6,2,6,3,2,2,6,2,45.166,0.452,3.714,6,4,3,6,2,5,6,40.37,0.917,0.833,1.000,0.750,1.000,6.500,6.000,7.000,5.500,7.000,1,7,3,1,1,7,6,7,3,6,20.185,Yes,"255,000",Yes,"6 months of fully paid leave and 255,000 patent buyout",Yes,,2004,United States,,4,A student,5,5,,female,,,"$150,000 or more",English,No,Single Never Married,['Asian'],7,6,4,4,4,4,3,"great! able to meet at a reasonable point
",6,6,6,4,5,"190,000. Open with 190,000 and see what they are open to. My BATNA is that the faculty continues to retain their portion of the IP and will go on sabattical. Avoids precedent for future buyouts - to prevent shift to commercial","200,000",Provost
01HVPCXMXT6HG3YWC3SQPEARF2,01HVPCKKWSJ53TY5A7XGSBJP8P,0.167,0.500,0.750,2.000,4.000,5.500,6,5,2,5,2,2,5,6,3,44.025,0.429,3.571,4,3,2,2,1,4,5,62.455,0.417,0.833,0.833,0.333,0.333,3.500,6.000,6.000,3.000,3.000,2,6,2,5,4,6,3,3,5,3,49.824,Yes,255,Yes,255 + 6 months of fully paid leave,Yes,,2005,United States,,4,A student,5,5,,male,,,"$150,000 or more",English,Yes,Single Never Married,['Black or African-American'],1,4,2,4,7,7,5,"I think I got finessed. I should've opened with a higher price for my terms and I should have been less cooperative. For some reason, I said I wanted a 5-month sabbotical or paid leave when I needed 9 months, so that's another part where I went wrong and I should've been more careful with my notes. Regardless, I was budged way too far down. I came down like 150K and she only came up like 70K. honestly, I was worried about how much I needed the money and I was worried that the provost would just walk away without offering anything, that's why I came down so low. I should take the negotiations class",7,5,3,5,4,"Opening with 410K
Start with a high price, convince them of the time and resources necessary for this intellectual property
Faculty sells their stuff for more and make money off of it",360000,Star Scientist
01HVPCT93CR4X0ED0NEFB1BJDG,01HVPCHERDMFGY38S0NQFFTQ95,0.250,0.444,0.583,2.500,3.667,4.500,5,2,2,5,3,3,3,5,2,39.695,0.571,4.429,5,5,2,3,6,5,3,38.351,0.583,0.917,0.750,0.500,0.667,4.500,6.500,5.500,4.000,5.000,2,5,2,2,4,7,4,4,4,5,43.118,Yes,"400,000",No,"400,000 pounds for 100% of the patent to the University plus 8 months of paid leave. No explicit return fund was discussed.",Yes,,2005,United States,,4,A student,5,5,,female,,,"$150,000 or more",English,No,Single Never Married,['Asian'],6,3,1,2,2,6,6,"The negotiation was nerve-wracking because I am unfamiliar with patents and the process of negotiation more generally, but as the negotiation went on I felt like I could develop logical points to support why I needed more funding. I felt like I was leading the negotiation and less accommodating than my counterpart. The provost was very understanding and acknowledged my points of concern so that I felt like a valued member of the university. ",7,7,3,7,7,"- open with a breakthrough that was discovered about a year or a few months ago that are in its final stages
- suggest the Provost to invest before the breakthrough is fully public and other investors would offer very competitive prices
- state that after the sabbatical I will be fresh and ready to continue work and work on other studies that would result in further breakthroughs (and I will come back to the university should the provost invest)
- this deal is within both of our interests because the sabbatical and program at the institute for advanced studies would help my productivity and ability to generate novel ideas to experiment with in the future ","450,000",Star Scientist
01HVPCT93CR4X0ED0NEFB1BJDG,01HVPCHKEYHRBX1W10F65488DT,1.000,0.389,0.875,7.000,3.333,6.250,7,6,7,5,4,7,1,6,2,38.324,0.571,4.429,4,7,2,4,7,7,6,34.368,1.000,0.667,0.583,0.500,0.833,7.000,5.000,4.500,4.000,6.000,5,6,4,1,1,6,4,5,4,7,40.903,Yes,"400,000",No,"We agreed to increase the interest pay in the patent significantly as well as increase the sabbatical pay to 8 months paid leave, but in exchange the star scientist will be returning to the university without selling to another investor.  ",Yes,,1998,United States,,6,Self-employed,5,5,,female,,,"$30,000-$39,999",English,Yes,Single Never Married,['White'],7,5,1,1,7,2,7,"The experience was very level headed on both our parts, neither of us raised our voices or used any strong emotions while discussing. Because my negotiating partner seemed to have a better grasp on the details of our assignment and was doing such a good job detailing exactly why they needed the money and what would happen if they didn't get it, I decided to give in to their requests after talking them down to a slightly smaller demand rather than bring it down closer to what I was informed to bring it to. ",7,7,4,6,6,To offer roughly half price and go up from there. To be frank that we can't offer more than 6 months pay while trying to reassure that that is enough for a healthy sabbatical. ,170k,Provost
