groupId,playerId,AwarenessMonitoringGrowth_aggregated_normGrowthMindset,AwarenessMonitoringGrowth_aggregated_normSelfAwareness,AwarenessMonitoringGrowth_aggregated_normSelfMonitoring,AwarenessMonitoringGrowth_aggregated_rawGrowthMindset,AwarenessMonitoringGrowth_aggregated_rawSelfAwareness,AwarenessMonitoringGrowth_aggregated_rawSelfMonitoring,AwarenessMonitoringGrowth_raw_canAdjust,AwarenessMonitoringGrowth_raw_emotionalIntuition,AwarenessMonitoringGrowth_raw_fixedIntelligence,AwarenessMonitoringGrowth_raw_goingOnAroundMe,AwarenessMonitoringGrowth_raw_innermostThoughts,AwarenessMonitoringGrowth_raw_onlyLearnNewThings,AwarenessMonitoringGrowth_raw_othersThinkOfMe,AwarenessMonitoringGrowth_raw_tellInappropriate,AwarenessMonitoringGrowth_raw_troubleChanging,AwarenessMonitoringGrowth_time_seconds,CulturalConflictNorms_aggregated_normConflictOpenness,CulturalConflictNorms_aggregated_rawConflictOpenness,CulturalConflictNorms_raw_avoidConflict,CulturalConflictNorms_raw_conflictIsDetrimental,CulturalConflictNorms_raw_differencesAvoided,CulturalConflictNorms_raw_disagreementsEncouraged,CulturalConflictNorms_raw_emotionAccepted,CulturalConflictNorms_raw_openConflict,CulturalConflictNorms_raw_resolveImmediately,CulturalConflictNorms_time_seconds,PostDiscussionGeneral_aggregated_normDiscussionDepth,PostDiscussionGeneral_aggregated_normDiscussionDisagreement,PostDiscussionGeneral_aggregated_normDiscussionEnjoy,PostDiscussionGeneral_aggregated_normDiscussionTension,PostDiscussionGeneral_aggregated_normSelfAnxious,PostDiscussionGeneral_aggregated_normSelfInsight,PostDiscussionGeneral_aggregated_normSelfLearned,PostDiscussionGeneral_aggregated_normSelfSpeakUp,PostDiscussionGeneral_aggregated_normSelfVoice,PostDiscussionGeneral_aggregated_rawDiscussionDepth,PostDiscussionGeneral_aggregated_rawDiscussionDisagreement,PostDiscussionGeneral_aggregated_rawDiscussionEnjoy,PostDiscussionGeneral_aggregated_rawDiscussionTension,PostDiscussionGeneral_aggregated_rawSelfAnxious,PostDiscussionGeneral_aggregated_rawSelfInsight,PostDiscussionGeneral_aggregated_rawSelfLearned,PostDiscussionGeneral_aggregated_rawSelfSpeakUp,PostDiscussionGeneral_aggregated_rawSelfVoice,PostDiscussionGeneral_raw_discussionDepth,PostDiscussionGeneral_raw_discussionDisagreement,PostDiscussionGeneral_raw_discussionEnjoy,PostDiscussionGeneral_raw_discussionTension,PostDiscussionGeneral_raw_selfAnxious,PostDiscussionGeneral_raw_selfInsight,PostDiscussionGeneral_raw_selfLearned,PostDiscussionGeneral_raw_selfSpeakUp,PostDiscussionGeneral_raw_selfVoice,PostDiscussionGeneral_time_seconds,PostDiscussionPerceptionOfOthers_aggregated_normCommon,PostDiscussionPerceptionOfOthers_aggregated_normLiking,PostDiscussionPerceptionOfOthers_aggregated_normPartnerListening,PostDiscussionPerceptionOfOthers_aggregated_normPartnerPerspectiveTaking,PostDiscussionPerceptionOfOthers_aggregated_normPartnerReceptiveness,PostDiscussionPerceptionOfOthers_aggregated_normPartnerTalking,PostDiscussionPerceptionOfOthers_aggregated_normPolite,PostDiscussionPerceptionOfOthers_aggregated_normSelfPerspectiveTaking,PostDiscussionPerceptionOfOthers_aggregated_rawCommon,PostDiscussionPerceptionOfOthers_aggregated_rawLiking,PostDiscussionPerceptionOfOthers_aggregated_rawPartnerListening,PostDiscussionPerceptionOfOthers_aggregated_rawPartnerPerspectiveTaking,PostDiscussionPerceptionOfOthers_aggregated_rawPartnerReceptiveness,PostDiscussionPerceptionOfOthers_aggregated_rawPartnerTalking,PostDiscussionPerceptionOfOthers_aggregated_rawPolite,PostDiscussionPerceptionOfOthers_aggregated_rawSelfPerspectiveTaking,PostDiscussionPerceptionOfOthers_raw_common,PostDiscussionPerceptionOfOthers_raw_defensive,PostDiscussionPerceptionOfOthers_raw_liking,PostDiscussionPerceptionOfOthers_raw_partnerListening,PostDiscussionPerceptionOfOthers_raw_partnerPerspectiveTaking,PostDiscussionPerceptionOfOthers_raw_partnerTalking,PostDiscussionPerceptionOfOthers_raw_polite,PostDiscussionPerceptionOfOthers_raw_selfPerspectiveTaking,PostDiscussionPerceptionOfOthers_time_seconds,TIPI_aggregated_normAgreeableness,TIPI_aggregated_normConscientiousness,TIPI_aggregated_normEmotionalStability,TIPI_aggregated_normExtroversion,TIPI_aggregated_normOpennessToExperience,TIPI_aggregated_rawAgreeableness,TIPI_aggregated_rawConscientiousness,TIPI_aggregated_rawEmotionalStability,TIPI_aggregated_rawExtroversion,TIPI_aggregated_rawOpennessToExperience,TIPI_raw_anxiety,TIPI_raw_calmness,TIPI_raw_carelessness,TIPI_raw_conventionality,TIPI_raw_criticalness,TIPI_raw_dependability,TIPI_raw_extroversion,TIPI_raw_openness,TIPI_raw_quietness,TIPI_raw_sympathy,TIPI_time_seconds,deal_sheet_agreement_binary,deal_sheet_deal_price,deal_sheet_return_fund_binary,deal_sheet_special_terms,deal_sheet_trip_binary,demographics_birth_year,demographics_country_reside,demographics_education_US,demographics_employment_status,demographics_english_spoken,demographics_english_written,demographics_gender,demographics_income_US,demographics_language_primary,demographics_language_primary_expansion,demographics_latin_US,demographics_marital_status,demographics_race_US,game_time_minutes,post_negotiation_conflict_1,post_negotiation_conflict_2,post_negotiation_conflict_3,post_negotiation_conflict_4,post_negotiation_decision_leadership_1,post_negotiation_decision_leadership_2,post_negotiation_goal_similarity,post_negotiation_open_ended_feedback,post_negotiation_viability_1,post_negotiation_viability_2,pre_negotiation_strategy,pre_negotiation_target_price,role
01HYGGSE6XFAB6D8QFA71HA7V7,01HYGGJ3B6WSMJ10KCTMFPGR46,0.25,0.833,1.0,2.5,6.0,7.0,7,7,4,7,7,1,4,7,1,53.143,0.476,3.857,4,7,2,4,4,7,7,34.864,1.25,,1.0,0.0,1.0,1.0,0.5,1.0,0.75,6.0,,6.0,1.0,5.0,5.0,3.0,5.0,4.0,6.0,,5.0,1S,5.0,5.0,3.0,5.0,4.0,31.319,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,5.0,5.0,5.0,3.0,3.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,3.0,5.0,5.0,27.858,1.0,1.0,0.75,0.75,1.0,7.0,7.0,5.5,5.5,7.0,4,7,1,1,1,7,7,7,4,7,26.913,Yes,"275,000",Yes,"The faculty would be offered up to 300,000 for their return fund and the possibility of increasing their pay once they return , also to be negotiated. They were also granted an extended unpaid sabbatical.",Yes,2005.0,United States,4.0,A student,5.0,5.0,female,"$30,000-$39,999",English,,No,Single Never Married,['Black or African-American'],28.653833333333335,7.0,7.0,1.0,1.0,1.0,2.0,7.0,,7.0,4.0,"In order to maximize the amount of benefits available for this faculty member, I would propose a .6 share for the buy out and a 10,000 month salary for the 6 month sabbatical. Then I would also point out that they have the possibility of extending the sabbatical, but it would be unpaid, and we can negotiate increasing the buy out share.","165,000",Provost
01HYGGSE6XFAB6D8QFA71HA7V7,01HYGGHF3S6JP3G524XAR36K3Y,0.333,0.556,0.708,3.0,4.333,5.25,5,4,3,5,3,3,5,6,2,32.192,0.357,3.143,5,6,2,4,1,3,5,28.957,0.75,0.5,0.75,0.5,0.25,0.5,0.25,0.75,0.5,4.0,3.0,4.0,3.0,2.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,3,2.0,3.0,2.0,4.0,3.0,24.815,0.25,0.75,1.0,0.75,1.0,0.5,0.75,0.75,2.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0,2.0,1.0,4.0,5.0,4.0,3.0,4.0,4.0,26.866,0.333,0.75,0.833,0.667,0.417,3.0,5.5,6.0,5.0,3.5,2,6,2,5,5,5,5,4,3,3,33.309,Yes,275000,Yes,"I'll get a return fund of 300,000",Yes,2005.0,United States,3.0,A student,5.0,5.0,female,"$150,000 or more",English,,No,Single Never Married,['Asian'],28.653833333333335,6.0,5.0,2.0,2.0,5.0,3.0,5.0,,6.0,5.0,"I plan to start off by asking for a high price of 800000 for my patent portfolio. I'll justify this with talking about funding my 21 month sabbatical.

If I'm not able to achieve a deal, I'd lower my ask. I'm assuming we're going to negotiate down, and I'm hoping to get somewhere around 500000 ",500000,Star Scientist
01HYGH0WGVRQKGNYBHC2PGEBBB,01HYGGP0J7QHH3X9F7XT2HBX5Y,0.583,0.389,0.625,4.5,3.333,4.75,3,5,3,3,3,6,4,6,3,47.36,0.333,3.0,6,4,5,2,3,4,5,49.992,1.25,0.5,1.0,1.0,0.0,0.5,0.75,1.0,0.75,6.0,3.0,6.0,5.0,1.0,3.0,4.0,5.0,4.0,6.0,3.0,5.0,5,1.0,3.0,4.0,5.0,4.0,23.018,1.0,1.0,1.0,0.75,1.0,0.5,1.0,1.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,1.0,5.0,5.0,4.0,3.0,5.0,5.0,23.307,0.917,0.5,0.583,1.0,1.0,6.5,4.0,4.5,7.0,7.0,4,5,5,1,2,5,7,7,1,7,63.025,Yes,110000 for 40%,Yes,"20k on return to university after leave
4 months paid leave",Yes,2005.0,United States,4.0,A student,5.0,5.0,female,"$150,000 or more",English,,No,Single Never Married,['Asian'],28.00255,6.0,2.0,1.0,1.0,3.0,2.0,7.0,"Nope, everything made sense",7.0,7.0,"I'll start by asking what he is seeking, and open with a bid of 80,000 and 4 months paid leave. I'll hear the counteroffer and work from that.","135,500 and 6 months paid leave w/ 2 months unpaid leave",Provost
01HYGH0WGVRQKGNYBHC2PGEBBB,01HYGGN26QMV4SFNC5BQ30SK2G,0.417,0.333,0.667,3.5,3.0,5.0,4,4,4,4,2,3,3,6,2,63.007,0.214,2.286,6,6,3,1,4,1,7,44.368,1.0,0.0,0.75,0.75,0.0,0.75,0.25,1.0,0.5,5.0,1.0,5.0,4.0,1.0,4.0,2.0,5.0,3.0,5.0,1.0,4.0,4,1.0,4.0,2.0,5.0,3.0,41.459,0.75,1.0,1.0,0.75,1.0,0.5,1.0,0.75,4.0,5.0,5.0,4.0,5.0,3.0,5.0,4.0,4.0,1.0,5.0,5.0,4.0,3.0,5.0,4.0,38.465,0.833,1.0,1.0,0.583,0.417,6.0,7.0,7.0,4.5,3.5,1,7,1,6,3,7,5,5,4,7,37.299,Yes,250000,Yes,"I will be returning to the university after my trip. I will also be getting about $110,000 for 40% of my patent portfolio. I can get 4 months of paid leave at about $10,000 a month, along with $150,000 for other expenses and $20,000 for returning back to the university once I return ",Yes,2004.0,United States,4.0,A student,5.0,5.0,female,"$50,000-$74,999",English,,Yes,Single Never Married,"['White', 'Other']",28.00255,4.0,1.0,1.0,1.0,5.0,3.0,5.0,It was a bit difficult to calculate everything all at once. there were also somethings that confused me and I did not know where to find the information that I needed. I think I also had some difficulty with figuring out how to calculate just how much my patent is worth and how much value to give my patent so that I am not losing money rather than earning it. It would have helped if I knew how much my portfolio was worth. ,7.0,7.0,I might start by setting my bids higher than my intended by a few thousand., 375000-400000,Star Scientist
01HYGGTQZ3SV99VJ5TNVYQ0NND,01HYGGJ8675526HW1X5RXB4R26,0.583,0.722,0.667,4.5,5.333,5.0,4,5,5,6,5,4,5,6,3,41.04,0.571,4.429,3,4,4,5,3,6,4,40.764,1.0,0.5,0.75,0.5,0.0,0.5,0.25,1.0,0.75,5.0,3.0,5.0,3.0,1.0,3.0,2.0,5.0,4.0,5.0,3.0,4.0,3,1.0,3.0,2.0,5.0,4.0,38.429,0.75,0.75,1.0,0.5,0.75,0.5,1.0,0.75,4.0,4.0,5.0,3.0,4.0,3.0,5.0,4.0,4.0,2.0,4.0,5.0,3.0,3.0,5.0,4.0,35.619,0.75,0.833,0.583,0.583,0.75,5.5,6.0,4.5,4.5,5.5,3,4,2,3,3,6,5,6,4,6,30.422,Yes,460,Yes,"- Work 8 hours a day
- PTO for 6 months
- Research fund will be provided 
- PhD students will write grant proposals for me",No,2004.0,United States,3.0,Self-employed,5.0,5.0,female,"$150,000 or more",English,,,Single Never Married,['Asian'],32.2075,6.0,5.0,1.0,1.0,6.0,6.0,5.0,They all made sense,7.0,7.0,"I will leverage the fact that I am a skilled scientist and I add a lot to the field. I will also say that teaching PhD student benefits the university so given I am doing the university a favor, they should do me a favor. Lastly I will use the fact that my peer got 400k by selling their portfolio as further leverage. ",356000,Star Scientist
01HYGGTQZ3SV99VJ5TNVYQ0NND,01HYGGFDEQG58ZH18R0C6EWQ7J,0.917,0.778,0.75,6.5,5.667,5.5,5,3,6,7,5,7,5,7,1,51.639,0.762,5.571,4,2,1,5,6,5,2,34.608,0.5,0.75,0.25,0.75,0.25,0.25,1.25,1.0,0.75,3.0,4.0,3.0,4.0,2.0,2.0,6.0,5.0,4.0,3.0,4.0,2.0,4,2.0,2.0,6.0,5.0,4.0,42.619,0.5,0.5,0.75,0.75,0.5,0.5,1.0,0.75,3.0,3.0,4.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,5.0,4.0,26.32,0.75,1.0,0.167,0.5,0.583,5.5,7.0,2.0,4.0,4.5,6,2,1,3,3,7,2,4,2,6,81.564,Yes,"275,000",Yes,"We offered the star scientist 6 months paid leave at a rate of $10,000 per month, a $125,000 return fund when returning for future research endeavors, and a reduction in the hours worked from 14 to 8 a day. We also came to an agreement that she will lead the search for an assistant to make up for those hours lost during the day. Additionally, because grant writing takes alot of time and money, she will screen resumes and the university will conduct interviews to find someone who works part time to write grant proposals. In the 6 months of paid leave we will additionally provide her with a list of faculty in her department currently writing grant proposals she can partner with when returning.",No,2004.0,United States,4.0,A student,5.0,5.0,female,"$50,000-$74,999",English,,No,Single Never Married,['Black or African-American'],32.2075,7.0,5.0,1.0,1.0,7.0,3.0,2.0,No,7.0,6.0,"I plan to offer the professor $165,000 and tell them about what they can gain from working at a university and additionally, try to understand their needs and concerns and offer incentives.","165,000",Provost
01HYGGW4PAY99NBQSF2CMSXASK,01HYGGJBM45XBE7VQR0FMC0JJQ,0.25,0.611,0.833,2.5,4.667,6.0,6,6,2,6,5,3,3,6,2,49.928,0.571,4.429,3,4,2,4,4,3,3,39.502,1.0,0.5,1.0,0.75,0.25,0.75,0.75,1.0,0.75,5.0,3.0,5.0,4.0,2.0,4.0,4.0,5.0,4.0,5.0,3.0,5.0,4,2.0,4.0,4.0,5.0,4.0,38.898,0.5,0.75,1.0,0.75,0.75,0.5,1.0,0.75,3.0,4.0,5.0,4.0,4.0,3.0,5.0,4.0,3.0,2.0,4.0,5.0,4.0,3.0,5.0,4.0,32.145,0.833,0.583,0.667,0.333,0.75,6.0,4.5,5.0,3.0,5.5,4,6,2,3,2,3,4,6,6,6,52.196,Yes,"275,000",Yes,"The provost said that they couldn't do $400,000 for the portfolio, however, they're able to do $275,000. They said yes to my sabbatical, paying for the first 6 months of $10,000 a month. They'll include a salary raise of $100,000 with a bonus of 70,000 before the sabbatical.",Yes,2005.0,United States,4.0,A student,5.0,5.0,female,"$50,000-$74,999",English,,No,Single Never Married,['Black or African-American'],31.95155,4.0,5.0,1.0,1.0,1.0,4.0,4.0,,5.0,5.0,Talk about my status as a star researcher and talk about the hard work I've put in these past couple of years. This led to the health conditions that required me to take time away. Then lead to how I want to sell my portfolio and how it'll be very helpful to the university ranking and research. Talk about how other private investors would love to give me the price I'm looking for but I came to the university due to my long-lasting relationship and commitment. ,"400,000",Star Scientist
01HYGGW4PAY99NBQSF2CMSXASK,01HYGGGF9AAJ9MBD8YBWHQH49H,0.167,0.722,0.792,2.0,5.333,5.75,6,7,3,6,5,1,5,6,4,27.943,0.405,3.429,4,6,3,4,1,3,3,28.483,0.75,0.25,0.5,0.75,0.5,0.5,0.75,1.0,0.75,4.0,2.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,2.0,3.0,4,3.0,3.0,4.0,5.0,4.0,30.827,0.5,0.75,0.75,0.75,0.75,0.5,0.75,0.75,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,20.018,0.75,0.833,0.417,0.167,0.75,5.5,6.0,3.5,2.0,5.5,5,4,2,3,3,6,3,6,7,6,44.242,Yes,"275,000",No,"1. Offer 21 months of sabbatical with 6 months being paid and 15 months being unpaid
2. Put together a research team of 4-5 students for the scientist to use once returning from sabbatical
3. Increase salary by approximately $100K
4. Pay $70K as a lump-sum for additional research pursuits to be used before sabbatical is over",Yes,1996.0,United States,6.0,A student,5.0,5.0,female,"Less than $10,000",English,,No,Single Never Married,['Black or African-American'],31.95155,6.0,5.0,1.0,1.0,5.0,4.0,2.0,"I didn't understand the last two questions regarding if the Scientist went on a trip, etc. because I don't recall reading anything in my assignment that corresponded to those inquiries, nor did I know how to bring them up in the negotiation.  ",6.0,6.0,"I will offer 9 months of an academic sabbatical, with 6 months being paid $10K per month and though the next 3 will be unpaid it will offer the scientist time to continue their own research pursuits ","200,000",Provost
01HYGGZRP0XHMZSESDCZQAQ837,01HYGGG9CQ81Q09RF5W0QYGCWG,0.0,0.833,0.958,1.0,6.0,6.75,7,6,1,7,7,1,4,7,1,38.266,0.548,4.286,3,3,4,5,3,5,5,39.969,0.75,0.25,1.0,0.75,0.0,0.5,0.25,1.0,0.75,4.0,2.0,4.0,4.0,1.0,3.0,2.0,5.0,4.0,4.0,2.0,5.0,4,1.0,3.0,2.0,5.0,4.0,53.101,0.75,1.0,1.0,1.0,1.0,0.5,1.0,0.75,4.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,4.0,1.0,5.0,5.0,5.0,3.0,5.0,4.0,27.933,0.667,0.583,0.75,0.5,0.667,5.0,4.5,5.5,4.0,5.0,4,7,3,5,5,4,7,7,7,7,50.81,Yes,"$275,000",Yes,,Yes,2000.0,United States,6.0,A student,5.0,5.0,male,"$30,000-$39,999",English,,Yes,Single Never Married,['White'],30.128833333333333,4.0,1.0,1.0,1.0,1.0,7.0,7.0,,7.0,7.0,Health issues; accomplishments (K-12 Behavioral Interventions/Prevention Science) - well renowned and accomplished; working conditions for ~a decade; Dr. recommendation; trip + Institute for Advanced Studies; funding and approval,"425,000",Star Scientist
01HYGGZRP0XHMZSESDCZQAQ837,01HYGGPPY6JN95HEGADTRVNTPQ,0.75,0.667,0.333,5.5,5.0,3.0,5,2,6,5,5,5,5,2,5,38.745,0.405,3.429,6,5,6,3,5,6,5,50.92,0.75,1.0,0.5,0.75,0.25,0.0,0.75,0.75,0.5,4.0,5.0,4.0,4.0,2.0,1.0,4.0,4.0,3.0,4.0,5.0,3.0,4,2.0,1.0,4.0,4.0,3.0,47.841,0.5,0.75,1.0,1.0,1.0,0.5,1.0,1.0,3.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,1.0,4.0,5.0,5.0,3.0,5.0,5.0,27.46,0.75,0.25,0.583,0.75,0.5,5.5,2.5,4.5,5.5,4.0,3,4,7,5,2,4,6,5,3,5,38.918,Yes,"275,000",Yes,"$10,000 6 months paid, 15 months more in sabbatical. $275k for IP, after the sabbatical $20k in return fund.
",Yes,2005.0,United States,3.0,A student,5.0,5.0,male,"$150,000 or more",English,,No,Single Never Married,['Asian'],30.128833333333333,7.0,3.0,1.0,2.0,7.0,6.0,5.0,I was a bit confused about the unpaid sabbatical leave but eventually figured it out.,6.0,6.0,"I plan to open up with a bid of 150,000 but max go up to 225,000. I would like to allow maximum flexibility on the sabbatical though.","200,000",Provost
01HYGGY0F8SM6G9VYYQAC0HDVA,01HYGGJJDJRF48TST2P5MK65T1,0.667,0.722,0.708,5.0,5.333,5.25,5,5,5,5,5,5,6,6,3,23.783,0.643,4.857,2,5,2,6,5,4,4,26.181,0.75,0.5,0.75,1.0,0.25,0.25,0.75,1.0,0.75,4.0,3.0,4.0,5.0,2.0,2.0,4.0,5.0,4.0,4.0,3.0,4.0,5,2.0,2.0,4.0,5.0,4.0,25.828,0.75,1.0,1.0,0.75,1.0,0.5,1.0,0.75,4.0,5.0,5.0,4.0,5.0,3.0,5.0,4.0,4.0,1.0,5.0,5.0,4.0,3.0,5.0,4.0,20.783,0.333,0.417,0.667,0.583,0.667,3.0,3.5,5.0,4.5,5.0,4,6,4,3,6,3,5,5,4,4,29.604,Yes,"275,000",Yes,"housing taken care of post return - so like no actual return fund, but anticipating no major issue because the biggest cost is taken care of 
support to continue career after return
only 6 month paid",Yes,2005.0,United States,4.0,A student,5.0,5.0,female,"$150,000 or more",English,,No,Single Never Married,['Asian'],31.332083333333333,6.0,4.0,1.0,1.0,6.0,4.0,6.0,"No, all the survey questions were easy to understand and made sense. ",6.0,7.0,"I will try to open with 450,000 and lower if necessary. 
My next best option would be to try to sell to private investors but due to difficulties with that this is the best option that is available. ","400,000",Star Scientist
01HYGGY0F8SM6G9VYYQAC0HDVA,01HYGGMH4V46WCJHHVHRGGFCAR,0.583,0.667,0.625,4.5,5.0,4.75,5,4,4,4,5,5,6,5,3,37.251,0.595,4.571,4,4,4,5,5,5,3,39.041,0.5,0.25,0.75,0.75,0.5,0.5,1.0,0.75,0.5,3.0,2.0,3.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0,2.0,4.0,4,3.0,3.0,5.0,4.0,3.0,46.143,0.5,0.75,0.75,0.5,0.75,0.5,0.75,0.5,3.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,43.582,0.5,0.167,0.333,0.333,0.5,4.0,2.0,3.0,3.0,4.0,5,3,6,4,4,2,3,4,5,4,38.285,Yes,"275,000",Yes,"Taking 18 month sabbatical 
Return to university on the condition that they will receive a living stipend and resources to network with outside investors/firms
",Yes,2005.0,United States,3.0,A student,5.0,5.0,male,"$150,000 or more",English,,No,Single Never Married,['Asian'],31.332083333333333,3.0,3.0,3.0,3.0,2.0,5.0,5.0,,5.0,5.0,"Allowing the faculty member to take the full sabbatical and more if requested while also investing in perhaps a 50% share in the portfolio (more if needed), will provide the resources for them to work with outside firms and investors while providing the access to research that no other opportunity could provide",137500,Provost
01HYGGWWWXT6GQR844JZE15F3C,01HYGGP1404FACJYNDJ1JH6FNJ,0.75,0.611,0.25,5.5,4.667,2.5,3,2,5,6,2,6,6,3,6,31.544,0.286,2.714,6,6,5,3,3,3,5,26.457,0.5,0.75,0.25,0.0,0.75,0.5,0.75,0.75,0.5,3.0,4.0,3.0,1.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,2.0,1S,4.0,3.0,4.0,4.0,3.0,30.309,0.5,1.0,0.75,0.75,0.75,0.5,0.75,0.25,3.0,5.0,4.0,4.0,4.0,3.0,4.0,2.0,3.0,2.0,5.0,4.0,4.0,3.0,4.0,2.0,23.691,0.417,0.333,0.25,0.833,0.75,3.5,3.0,2.5,6.0,5.5,5,2,5,2,5,3,6,5,2,4,33.767,Yes,"$275,000",Yes,"I am getting $60,000 for the sabbatical outside of the patent portfolio, as well as a promotion/tenure/raise of some kind to allow for recognition of my hard work and more flexibility",Yes,2005.0,United States,4.0,A student,5.0,5.0,female,"$150,000 or more",English,,No,Single Never Married,"['White', 'Asian']",35.81266666666667,7.0,5.0,2.0,6.0,3.0,3.0,5.0,Not really,5.0,5.0,"I'm going to talk about how this sabbatical is a must-happen event for me to continue my work at the university and how I believe my work's value and my future contributions to the university will more than outweigh any financial burden this will present to the university now. Opening bid is $500,000
If i can't get this deal, next best option is to cut the sailing trip a little short to maybe 6-7 months instead","400,000",Star Scientist
01HYGGWWWXT6GQR844JZE15F3C,01HYGGH248ATWR42S7T3XJSA4X,0.667,0.667,0.75,5.0,5.0,5.5,6,5,5,5,4,5,6,6,3,60.306,0.5,4.0,6,3,3,5,4,4,5,43.023,1.25,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,6.0,4.0,6.0,4.0,4.0,4.0,4.0,4.0,3.0,6.0,4.0,4.0,4,4.0,4.0,4.0,4.0,3.0,23.763,0.75,1.0,0.75,0.75,0.5,0.5,1.0,0.75,4.0,5.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,3.0,5.0,4.0,23.362,0.667,0.667,0.417,0.583,0.583,5.0,5.0,3.5,4.5,4.5,4,3,2,4,2,4,4,5,3,4,40.158,Yes,275000,Yes,There is a paid sabbatical (10k per month for 60k total) and huge possibility of promotion when return from trip to professor with tenure to recognize the star scientist and their work while also allowing for more wage and hours flexibility.,Yes,2004.0,United States,3.0,Employed for wages,5.0,5.0,female,"$150,000 or more",English,,No,Single Never Married,['Asian'],35.81266666666667,6.0,6.0,3.0,2.0,6.0,3.0,5.0,Nope,5.0,6.0,This recognizes that the faculty for their work over the past few years and is more than 50% which recognizes Penn as the main stakeholder for this scenario.,"200,000",Provost
01HYGGVY8GD17CNJ2W48J9ZP9P,01HYGGHQHXRVJJTGZ3SM3W9PEN,0.25,0.778,0.667,2.5,5.667,5.0,5,5,2,6,5,3,6,5,3,53.746,0.524,4.143,5,5,3,4,6,5,5,36.716,0.75,0.5,0.75,0.75,0.5,0.5,0.25,0.75,0.5,4.0,3.0,4.0,4.0,3.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,4,3.0,3.0,2.0,4.0,3.0,47.186,0.5,0.75,1.0,0.5,0.75,0.5,0.75,0.75,3.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0,3.0,2.0,4.0,5.0,3.0,3.0,4.0,4.0,36.066,0.583,0.833,0.75,0.5,0.75,4.5,6.0,5.5,4.0,5.5,4,7,2,3,4,6,5,6,5,5,63.391,Yes,"$260,000",Yes,"6 month sabbatical with $10,000 bonus per month",Yes,2005.0,United States,4.0,A student,5.0,5.0,female,"$150,000 or more",English,,,Single Never Married,['Asian'],35.66271666666667,5.0,5.0,3.0,1.0,6.0,4.0,6.0,No they were all understandable.,5.0,6.0,"I will negotiate by emphasizing my value in the university and how a sabbatical would further benefit the university because I would be rejuvenated and able to develop new advancements. Then, I would stress how a less valuable patent was sold for $400,000 recently. I would make sure they understand that not agreeing to this deal would mean losing me as a star scientist with a renowned reputation.","$400,000",Star Scientist
01HYGGVY8GD17CNJ2W48J9ZP9P,01HYGGJMEZPTVQHAT1YWK93P0B,0.5,0.556,0.708,4.0,4.333,5.25,6,5,5,5,4,3,4,4,2,44.233,0.524,4.143,5,5,2,3,6,5,5,55.423,0.5,0.5,0.5,0.5,0.25,0.75,0.25,1.0,0.75,3.0,3.0,3.0,3.0,2.0,4.0,2.0,5.0,4.0,3.0,3.0,3.0,3,2.0,4.0,2.0,5.0,4.0,40.891,0.5,0.5,1.0,0.75,0.75,0.5,1.0,0.75,3.0,3.0,5.0,4.0,4.0,3.0,5.0,4.0,3.0,2.0,3.0,5.0,4.0,3.0,5.0,4.0,23.082,0.75,0.833,0.75,0.667,0.667,5.5,6.0,5.5,5.0,5.0,2,5,2,4,2,6,5,6,3,5,38.744,Yes,260K,Yes,"260K for the patent portfolio, with the 6 months of sabbatical for 10K each month. ",Yes,2004.0,United States,3.0,A student,4.0,4.0,male,"$50,000-$74,999",English,,No,Single Never Married,['Asian'],35.66271666666667,6.0,6.0,3.0,2.0,5.0,4.0,6.0,All of it made sense. ,6.0,5.0,My opening bid is going to be 180K for the IP and then mention 4 months of paid sabbatical. I would then raise ideally to 225K and then go to the 6 months of paid sabbatical. Ideally I can convince them of other benefits like a new office or ask them what else they would like to receive like healthcare benefits or whatnot. ,225K,Provost
